Timestamp,PV_Power,EV_Power,Battery_Power,V_DC,EV_Voltage,EV_SoC,Demand_Response,V2G,Vg_RMS,Ig_RMS,Frequency,THD,Power_Factor,Active_Power,Reactive_Power
2025-03-22 06:30:32.424,2984.22,-5238.61,400.33,401.95,351.4,70.82,On,On,54.46,9.54,-0.1,3.19,0.8,1887.14,1415.36
2025-03-22 06:30:32.727,2976.42,-5205.61,502.27,397.5,348.96,71.14,On,On,54.06,8.17,0.06,3.46,0.8,1712.26,1284.2
2025-03-22 06:30:33.024,2945.33,-5421.88,420.92,402.11,351.95,71.45,On,On,56.62,9.31,-0.04,3.06,0.8,2086.32,1564.74
2025-03-22 06:30:33.334,2924.42,-5053.99,554.67,397.12,349.29,71.77,On,On,53.09,9.14,-0.08,2.88,0.8,1547.96,1160.97
2025-03-22 06:30:33.628,3131.87,-5196.91,593.8,399.37,348.7,72.08,On,On,54.69,9.48,0.08,2.69,0.8,1496.58,1122.44
2025-03-22 06:30:33.928,2951.8,-5152.47,512.93,397.92,349.05,72.39,On,On,56.79,9.48,-0.05,2.78,0.8,1667.81,1250.86
2025-03-22 06:30:34.232,3003.64,-5253.81,404.56,400.28,349.25,72.71,On,On,52.37,9.86,0.08,2.62,0.8,1843.74,1382.81
2025-03-22 06:30:34.524,3014.35,-5135.19,459.13,397.72,349.37,73.02,On,On,57.12,9.73,0.05,3.49,0.8,1659.78,1244.83
2025-03-22 06:30:34.829,2973.22,-5115.19,407.31,400.98,351.07,73.33,On,On,53.97,8.24,-0.0,3.2,0.8,1778.04,1333.53
2025-03-22 06:30:35.124,3149.86,-5364.22,512.35,398.56,349.67,73.65,On,On,55.57,8.49,-0.08,3.47,0.8,1729.61,1297.21
2025-03-22 06:30:35.425,2960.74,-5305.1,506.29,397.21,348.53,73.97,On,On,54.1,8.48,-0.02,3.42,0.8,1834.3,1375.72
2025-03-22 06:30:35.723,2925.73,-5313.01,425.36,397.76,351.35,74.18,On,On,55.93,9.15,0.05,3.28,0.8,1996.52,1497.39
